Interactor 1 Gene symbol,Interactor 1 HPRD id,Interactor 1 RefSeq id,Interactor 2 Gene symbol,Interactor 2 HPRD id,Interactor 2 RefSeq id,"Experiment type (in vivo, in vitro and yeast 2-hybrid)"
POLR2D,16191,NP_004796.1,ATF7IP,09811,NP_060649.3,in vitro
BATF,09820,NP_006390.1,BATF,09820,NP_006390.1,in vitro;yeast 2-hybrid
BICD2,09826,NP_001003800.1,BICD2,09826,NP_001003800.1,yeast 2-hybrid
TBL1X,02183,NP_005638.1,CTNNB1,00286,NP_001895.1,in vitro;yeast 2-hybrid
NEK9,11386,NP_149107.4,BICD2,09826,NP_001003800.1,in vitro;in vivo
C11orf30,10544,NP_064578.2,ZMYND11,09830,NP_006615.2,in vivo
TSPO,15913,NP_000705.2,BZRAP1,09832,NP_004749.2,in vitro;yeast 2-hybrid
CAP2,10808,NP_006357.1,CAP1,09869,NP_006358.1,in vivo;yeast 2-hybrid
COPZ1,16738,NP_057141.1,COPG,09887,NP_057212.1,in vitro;in vivo;yeast 2-hybrid
COPZ2,16739,NP_057513.1,COPG,09887,NP_057212.1,in vitro;in vivo;yeast 2-hybrid
AR,02437,NP_000035.2,CTNNB1,00286,NP_001895.1,in vitro;in vivo;yeast 2-hybrid
COPS6,16735,NP_006824.2,COPS4,09888,NP_057213.2,in vitro
COPS7A,16736,NP_057403.1,COPS4,09888,NP_057213.2,in vitro;in vivo
COPS8,16737,NP_006701.1,COPS4,09888,NP_057213.2,in vitro;in vivo
PMF1,11441,NP_009152.2,COPS7B,09889,NP_073567.1,yeast 2-hybrid
CNDP1,09894,NP_116038.4,CNDP2,09893,NP_060705.1,in vitro
CNDP1,09894,NP_116038.4,CNDP1,09894,NP_116038.4,in vitro
CREBBP,02534,NP_004371.2,CTNNB1,00286,NP_001895.1,in vivo
MEGF10,14384,NP_115822.1,CUL7,09901,NP_055595.2,yeast 2-hybrid
FBXW8,16427,NP_699179.2,CUL7,09901,NP_055595.2,in vitro;in vivo;yeast 2-hybrid
DAPK2,09905,NP_055141.2,DAPK2,09905,NP_055141.2,in vitro
DSC3,02604,NP_001932.2,CTNNB1,00286,NP_001895.1,in vivo
RNASEN,10196,NP_037367.3,DGCR8,09913,NP_073557.3,in vitro
BAT5,15929,NP_066983.1,DNAJC1,09922,NP_071760.2,yeast 2-hybrid
LRRC7,09930,NP_065845.1,LRRC7,09930,NP_065845.1,in vitro;yeast 2-hybrid
EMID2,16405,NP_597714.2,EMID1,09936,NP_597712.2,in vivo
TRIM27,15996,NP_006501.1,EPC1,09941,NP_079485.1,in vitro;in vivo;yeast 2-hybrid
CSNK1A1,02739,NP_001020276.1,CTNNB1,00286,NP_001895.1,in vitro;in vivo
EXOC2,11544,NP_060773.3,EXOC8,09943,NP_787072.2,in vitro;in vivo;yeast 2-hybrid
CNTNAP4,13079,NP_207837.2,FBXO21,09948,NP_296373.1,yeast 2-hybrid
IGHG1,11755,CAD98026.1,FCGR3B,09951,NP_000561.3,in vitro
EXOSC10,16180,NP_001001998.1,EIF3M,09969,NP_006351.2,yeast 2-hybrid
GNG13,12116,NP_057625.1,GNB4,09973,NP_067642.1,in vitro
GNG12,13592,NP_061329.3,GNB4,09973,NP_067642.1,in vivo
POLA2,10160,NP_002680.2,HELB,09979,NP_387467.2,in vitro;in vivo
ASCC1,12497,BAC04299.1,ASCC3,09980,NP_006819.2,in vivo;yeast 2-hybrid
ANG,00105,NP_001136.1,ACTC1,00015,NP_005150.1,in vitro;in vivo;yeast 2-hybrid
FGFR3,00624,NP_000133.1,STAT3,00026,NP_644805.1,in vitro;in vivo
CASP3,02799,NP_004337.2,CTNNB1,00286,NP_001895.1,in vivo
MPHOSPH10,10404,NP_005782.1,IMP4,10002,NP_219484.1,in vitro
KHDRBS3,10007,NP_006549.1,KHDRBS3,10007,NP_006549.1,in vitro;in vivo;yeast 2-hybrid
YTHDC1,11689,AAH41119.1,KHDRBS3,10007,NP_006549.1,in vitro;yeast 2-hybrid
KIAA0664,10014,NP_056044.3,CELSR3,09179,NP_001398.2,yeast 2-hybrid
SSPO,11088,NP_940857.2,TTC28,10020,NP_001138890.1,yeast 2-hybrid
CHUK,02811,NP_001269.3,CTNNB1,00286,NP_001895.1,in vitro;in vivo
DDN,10294,NP_055901.2,WWC1,10033,NP_056053.1,yeast 2-hybrid
TSEN15,12292,NP_443197.1,TSEN34,10038,NP_076980.2,yeast 2-hybrid
LIN7B,10040,NP_071448.1,LIN7B,10040,NP_071448.1,in vitro;in vivo;yeast 2-hybrid
ACCN3,10626,NP_064717.1,LIN7B,10040,NP_071448.1,in vivo;yeast 2-hybrid
LNX1,17287,NP_001119800.1,LNX2,10042,NP_699202.1,in vitro
MED18,17476,NP_060108.2,USP49,10075,NP_061031.2,in vitro;in vivo
PLXNA4A,11975,BAC04587.1,MICAL2,10085,NP_055447.1,yeast 2-hybrid
CSNK1D,02920,NP_001884.2,CTNNB1,00286,NP_001895.1,in vitro
STRADA,14332,NP_001003787.1,CAB39,10091,NP_057373.1,in vitro;in vivo
XRN2,10309,NP_036387.2,MOCS3,10092,NP_055299.1,yeast 2-hybrid
EXOSC6,12107,NP_478126.1,MOCS3,10092,NP_055299.1,yeast 2-hybrid
MYLIP,17621,NP_037394.2,MYL12B,10095,NP_291024.1,in vivo;yeast 2-hybrid
GALNT14,12194,NP_078848.2,MUC13,10101,NP_149038.2,in vitro
TCP10L,10518,NP_653260.1,MXD4,10103,NP_006445.1,in vitro;in vivo;yeast 2-hybrid
EHD2,10434,NP_055416.2,EHBP1,10109,NP_056067.2,in vitro;in vivo
TBC1D4,18164,NP_055647.2,NAV1,10113,NP_065176.3,yeast 2-hybrid
PTPRJ,02955,NP_002834.3,CTNNB1,00286,NP_001895.1,in vivo
EMCN,12220,NP_057326.2,OSGEP,10133,NP_060277.1,in vitro
NRXN1,11858,NP_001129131.1,PDZD2,10142,NP_835260.2,yeast 2-hybrid
GLRX3,10153,NP_006532.2,GLRX3,10153,NP_006532.2,in vitro;yeast 2-hybrid
DCP2,13125,NP_689837.2,POLA2,10160,NP_002680.2,yeast 2-hybrid
RRN3,12004,NP_060897.3,POLR1A,10161,NP_056240.2,in vitro;in vivo
POLR1E,15096,NP_071935.1,POLR1A,10161,NP_056240.2,in vitro
SMAD4,02995,NP_005350.1,CTNNB1,00286,NP_001895.1,in vivo
FEM1A,16888,NP_061178.1,PPM1F,10163,NP_055449.1,in vivo
PPM1F,10163,NP_055449.1,CAMK2A,06532,NP_057065.2,in vitro
PPM1F,10163,NP_055449.1,PPM1F,10163,NP_055449.1,in vitro;in vivo
UCHL5,10293,NP_057068.1,PSMD8,10171,NP_002803.2,in vitro;in vivo;yeast 2-hybrid
TBC1D4,18164,NP_055647.2,C3orf63,10183,NP_001106207.1,yeast 2-hybrid
RGL1,12032,NP_055964.3,RIT1,10195,NP_008843.1,in vitro
PIN1,03031,NP_006212.1,CTNNB1,00286,NP_001895.1,in vitro;in vivo
RPS6KC1,10204,NP_036556.2,RPS6KC1,10204,NP_036556.2,in vivo
RRAGA,10205,NP_006561.1,RRAGA,10205,NP_006561.1,in vitro;in vivo;yeast 2-hybrid
NOL8,11397,NP_060418.4,RRAGA,10205,NP_006561.1,in vitro;in vivo;yeast 2-hybrid
CDH5,03075,NP_001786.2,CTNNB1,00286,NP_001895.1,in vivo
RRAGC,12198,NP_071440.1,RRAGA,10205,NP_006561.1,in vitro;in vivo;yeast 2-hybrid
PLXNA1,11868,NP_115618.3,SEMA6D,10221,NP_705871.1,in vivo
SH3BP1,10227,NP_061830.3,SH3BP1,10227,NP_061830.3,in vitro
PKD1,03203,NP_001009944.2,CTNNB1,00286,NP_001895.1,in vitro;in vivo
RND1,12357,NP_055285.1,UBXN11,10245,NP_892120.2,in vitro;in vivo;yeast 2-hybrid
BAT5,15929,NP_066983.1,SPAG7,10247,NP_004881.2,yeast 2-hybrid
SYNJ2,10259,NP_003889.1,SYNJ2,10259,NP_003889.1,in vitro;in vivo;yeast 2-hybrid
SYNJ2BP,15455,NP_060843.2,SYNJ2,10259,NP_003889.1,in vitro;in vivo
DVL1,03220,NP_004412.2,CTNNB1,00286,NP_001895.1,in vivo
NRXN1,11858,NP_001129131.1,SYTL2,10260,NP_996810.1,in vitro
TRIM29,10280,NP_036233.2,TRIM29,10280,NP_036233.2,in vitro;in vivo;yeast 2-hybrid
TRIM27,15996,NP_006501.1,TRIM29,10280,NP_036233.2,yeast 2-hybrid
TRIM31,10281,NP_008959.3,TRIM31,10281,NP_008959.3,yeast 2-hybrid
TPT1,15979,NP_003286.1,STEAP3,10285,NP_878919.2,in vitro;yeast 2-hybrid
ERO1L,13278,NP_055399.1,ERP44,10290,NP_055866.1,in vivo
ERO1LB,13279,NP_063944.3,ERP44,10290,NP_055866.1,in vivo
SMAD2,03221,NP_005892.1,CTNNB1,00286,NP_001895.1,in vivo
TFCP2L1,18175,NP_055368.1,UBP1,10291,NP_055332.3,in vitro
HAUS7,18695,NP_996990.1,UCHL5,10293,NP_057068.1,in vitro;in vivo;yeast 2-hybrid
UPK1A,15624,NP_008931.1,UPK2,10295,NP_006751.1,in vitro;in vivo
FGFR4,00625,NP_002002.3,STAT3,00026,NP_644805.1,in vitro;in vivo
DVL3,03222,NP_004414.3,CTNNB1,00286,NP_001895.1,in vitro;in vivo
ZFYVE20,15732,NP_071735.2,VPS45,10301,NP_009190.2,in vitro
EXOSC6,12107,NP_478126.1,DNAJC30,10303,NP_115693.2,yeast 2-hybrid
RAB3GAP1,16002,NP_036365.1,WDR7,10306,NP_056100.2,in vivo
SLC34A1,08918,NP_003043.3,PEX19,02610,NP_002848.1,in vitro;yeast 2-hybrid
UPF2,10405,NP_542166.1,XRN2,10309,NP_036387.2,yeast 2-hybrid
EIF3L,10932,NP_057175.1,XRN2,10309,NP_036387.2,yeast 2-hybrid
EXOSC10,16180,NP_001001998.1,XRN2,10309,NP_036387.2,yeast 2-hybrid
DOM3Z,16186,NP_005501.2,XRN2,10309,NP_036387.2,yeast 2-hybrid
TIPARP,18192,NP_056323.2,XRN2,10309,NP_036387.2,yeast 2-hybrid
YOD1,10312,NP_061036.3,YOD1,10312,NP_061036.3,in vitro;in vivo
ZHX1,10379,NP_009153.3,ZHX3,10320,NP_055850.1,in vitro;in vivo;yeast 2-hybrid
ZHX2,16458,NP_055758.1,ZHX3,10320,NP_055850.1,in vitro;in vivo;yeast 2-hybrid
CDK9,16016,NP_001252.1,ZMYM6,10325,NP_009098.3,yeast 2-hybrid
CASP8,03459,NP_001073594.1,CTNNB1,00286,NP_001895.1,in vivo
PHC2,10340,NP_932157.1,PHC2,10340,NP_932157.1,in vivo;yeast 2-hybrid
MAPKAPK2,11882,NP_116584.2,PHC2,10340,NP_932157.1,in vivo;yeast 2-hybrid
PHC1,16009,NP_004417.2,PHC2,10340,NP_932157.1,in vivo;yeast 2-hybrid
DYNC2LI1,13116,NP_057092.2,DYNC2H1,10344,NP_001073932.1,in vitro;in vivo
DBF4,10371,NP_006707.1,CDC7,10345,NP_003494.1,in vitro;in vivo;yeast 2-hybrid
MCM10,11297,NP_877428.1,CDC7,10345,NP_003494.1,in vitro
DBF4B,16840,NP_079380.1,CDC7,10345,NP_003494.1,in vitro;in vivo
TCF7L2,03751,NP_110383.2,CTNNB1,00286,NP_001895.1,in vitro;in vivo
A1CF,10627,NP_620310.1,KHSRP,10350,NP_003676.2,in vitro
EXOSC3,16220,NP_057126.2,KHSRP,10350,NP_003676.2,in vitro;in vivo
CDK9,16016,NP_001252.1,CCNK,10352,NP_001092872.1,in vitro;in vivo;yeast 2-hybrid
KCNMA1,15967,NP_001014797.1,KCNMB1,10358,NP_004128.1,in vivo
NPNT,14141,NP_001028219.1,ITGA8,10361,NP_003629.1,in vitro;in vivo
CABIN1,10369,NP_036427.1,CABIN1,10369,NP_036427.1,in vitro
GNB2,11820,NP_005264.2,GNG10,10374,AAH48318.1,in vitro
GNB2,11820,NP_005264.2,GNG7,10376,NP_443079.1,in vivo;yeast 2-hybrid
IGHG1,11755,CAD98026.1,SWAP70,10378,NP_055870.2,in vitro
SWAP70,10378,NP_055870.2,CELSR3,09179,NP_001398.2,yeast 2-hybrid
ZHX1,10379,NP_009153.3,ZHX1,10379,NP_009153.3,in vitro;in vivo;yeast 2-hybrid
PTPRU,03908,NP_005695.3,CTNNB1,00286,NP_001895.1,in vivo
ZHX2,16458,NP_055758.1,ZHX1,10379,NP_009153.3,in vitro;yeast 2-hybrid
C16orf70,17460,NP_079463.2,KIF17,10388,NP_065867.2,in vitro;in vivo;yeast 2-hybrid
TACC1,10391,NP_006274.2,TACC1,10391,NP_006274.2,in vitro;in vivo;yeast 2-hybrid
SF3B2,10410,NP_006833.2,TCERG1,10393,NP_006697.2,in vitro
SF3A3,10411,NP_006793.1,TCERG1,10393,NP_006697.2,in vitro
TPM4,11734,BAB14554.1,TCERG1,10393,NP_006697.2,in vitro
SF3B4,12028,NP_005841.1,TCERG1,10393,NP_006697.2,in vitro
SPAG9,10398,NP_001124000.1,SPAG9,10398,NP_001124000.1,in vitro
PTPRK,03968,NP_001129120.1,CTNNB1,00286,NP_001895.1,in vitro;in vivo
ABCB8,10400,BAA92038.1,ABCB8,10400,BAA92038.1,in vitro;in vivo
MYPN,10536,NP_115967.2,NEBL,10403,NP_006384.1,yeast 2-hybrid
IMP3,12664,NP_060755.1,MPHOSPH10,10404,NP_005782.1,in vitro
UPF2,10405,NP_542166.1,UPF2,10405,NP_542166.1,in vitro;yeast 2-hybrid
XRN1,10470,NP_061874.3,UPF2,10405,NP_542166.1,in vivo
NOB1,11395,NP_054781.1,UPF2,10405,NP_542166.1,yeast 2-hybrid
DCP1B,13124,AAN62764.1,UPF2,10405,NP_542166.1,yeast 2-hybrid
DCP2,13125,NP_689837.2,UPF2,10405,NP_542166.1,yeast 2-hybrid
SKIV2L2,13777,NP_056175.3,UPF2,10405,NP_542166.1,yeast 2-hybrid
MAP1LC3B,14358,NP_073729.1,UPF2,10405,NP_542166.1,yeast 2-hybrid
SLC34A1,08918,NP_003043.3,BSPRY,16566,NP_060158.2,yeast 2-hybrid
EIF1,15449,NP_005792.1,UPF2,10405,NP_542166.1,in vitro;yeast 2-hybrid
EXOSC10,16180,NP_001001998.1,UPF2,10405,NP_542166.1,yeast 2-hybrid
EXOSC4,16221,NP_061910.1,UPF2,10405,NP_542166.1,in vitro;in vivo
EXOSC1,16223,NP_057130.1,UPF2,10405,NP_542166.1,yeast 2-hybrid
ZNF408,18338,NP_079017.1,UPF2,10405,NP_542166.1,yeast 2-hybrid
TNNI3K,18208,NP_001106279.1,AIP,10408,NP_003968.2,yeast 2-hybrid
SF3B4,12028,NP_005841.1,SF3B2,10410,NP_006833.2,in vivo
FHL2,04026,NP_001441.4,CTNNB1,00286,NP_001895.1,in vitro;in vivo
SFRS12,18043,NP_001070667.1,SF3A3,10411,NP_006793.1,in vitro;in vivo;yeast 2-hybrid
BANP,16538,NP_524576.2,BTG3,10415,AAH11957.1,yeast 2-hybrid
MLXIPL,12033,NP_116569.1,NIF3L1,10424,AAH07654.1,in vivo;yeast 2-hybrid
GRIN2D,04095,NP_000827.2,CTNNB1,00286,NP_001895.1,in vivo
THOC7,17632,NP_079351.2,NIF3L1,10424,AAH07654.1,yeast 2-hybrid
BRD7,12531,AAF19526.1,HNRNPUL1,10428,NP_008971.2,in vitro;in vivo;yeast 2-hybrid
EHD2,10434,NP_055416.2,EHD2,10434,NP_055416.2,in vitro;in vivo
TPM2,11768,NP_003280.2,PDLIM7,10436,NP_005442.2,in vitro;in vivo
GGA3,10443,NP_619525.1,GGA3,10443,NP_619525.1,yeast 2-hybrid
NR3C1,00679,NP_001019265.1,STAT3,00026,NP_644805.1,in vivo
PKP2,04177,NP_004563.2,CTNNB1,00286,NP_001895.1,in vivo;yeast 2-hybrid
AFTPH,10635,NP_982261.2,GGA3,10443,NP_619525.1,yeast 2-hybrid
MKL1,10445,NP_065882.1,MKL1,10445,NP_065882.1,in vitro
MKL2,17577,NP_054767.3,MKL1,10445,NP_065882.1,in vitro
FNBP1,10446,NP_055848.1,FNBP1,10446,NP_055848.1,in vivo
SMYD3,12297,NP_073580.1,HELZ,10452,NP_055692.2,in vitro;in vivo
BPY2C,18658,NP_001002761.1,MAP1S,10461,NP_060644.4,in vitro;yeast 2-hybrid
CDH8,04306,NP_001787.2,CTNNB1,00286,NP_001895.1,in vitro;in vivo
SPRY4,10466,NP_112226.2,SPRY4,10466,NP_112226.2,in vivo;yeast 2-hybrid
HEATR1,10962,BAC05261.1,XRN1,10470,NP_061874.3,yeast 2-hybrid
WAPAL,11072,AAO14651.1,XRN1,10470,NP_061874.3,yeast 2-hybrid
CNPY2,12056,NP_055070.1,MLXIP,10478,NP_055753.3,in vitro;in vivo;yeast 2-hybrid
PPHLN1,10488,NP_057572.5,PPHLN1,10488,NP_057572.5,yeast 2-hybrid
SMAD3,04380,NP_005893.1,CTNNB1,00286,NP_001895.1,in vitro
NFASC,12372,NP_001005388.2,SCN3B,10497,NP_060870.1,in vivo
PINK1,10514,NP_115785.1,PINK1,10514,NP_115785.1,in vitro
DPYSL5,10522,NP_064519.2,DPYSL5,10522,NP_064519.2,in vivo;yeast 2-hybrid
PTPN14,04402,NP_005392.2,CTNNB1,00286,NP_001895.1,in vitro;in vivo
TLK2,10527,AAH44925.1,TLK2,10527,AAH44925.1,in vitro;in vivo
TLK1,12232,BAA20562.1,TLK2,10527,AAH44925.1,in vivo
ASF1A,16459,NP_054753.1,TLK2,10527,AAH44925.1,in vitro;in vivo;yeast 2-hybrid
ASF1B,16460,NP_060624.1,TLK2,10527,AAH44925.1,in vitro;in vivo;yeast 2-hybrid
STON2,10531,NP_149095.2,STON2,10531,NP_149095.2,in vitro
SFRS12,18043,NP_001070667.1,DDX17,10532,NP_001091974.1,in vitro;in vivo;yeast 2-hybrid
MYPN,10536,NP_115967.2,MYPN,10536,NP_115967.2,yeast 2-hybrid
CA9,04417,NP_001207.2,CTNNB1,00286,NP_001895.1,in vitro;in vivo
ANKRD1,10647,NP_055206.2,MYPN,10536,NP_115967.2,yeast 2-hybrid
ANKRD23,12462,NP_659431.5,MYPN,10536,NP_115967.2,yeast 2-hybrid
GRHL3,12210,NP_067003.2,GRHL2,10545,NP_079191.2,in vitro;yeast 2-hybrid
RAB11FIP2,10548,NP_055719.1,RAB11FIP2,10548,NP_055719.1,in vivo
RAB11FIP4,11466,NP_116321.2,RAB11FIP2,10548,NP_055719.1,in vitro
PDCD4,10549,NP_055271.2,PDCD4,10549,NP_055271.2,in vitro;yeast 2-hybrid
SMARCA4,04459,NP_001122321.1,CTNNB1,00286,NP_001895.1,in vivo
OBSCN,10551,NP_001092093.1,CALM1,00241,NP_008819.1,in vitro
SYNGAP1,16018,NP_006763.2,ULK2,10556,NP_055498.3,in vitro;yeast 2-hybrid
DAZ1,15958,NP_004072.3,DZIP3,10562,NP_055463.1,yeast 2-hybrid
SSX2IP,10566,NP_054740.3,SSX2IP,10566,NP_054740.3,in vitro;yeast 2-hybrid
IKBKB,04462,NP_001547.1,CTNNB1,00286,NP_001895.1,in vitro;in vivo
PPP1CA,15942,NP_001008709.1,PHACTR3,10571,NP_542403.1,in vivo;yeast 2-hybrid
RANBP10,15207,NP_065901.1,TSEN2,10576,NP_079541.1,yeast 2-hybrid
ATL2,10662,NP_001129145.1,ARL6,10588,NP_115522.1,yeast 2-hybrid
IQGAP1,04541,NP_003861.1,CTNNB1,00286,NP_001895.1,in vitro;in vivo
ARL6IP6,12485,NP_689735.1,ARL6,10588,NP_115522.1,yeast 2-hybrid
ARL6,10588,NP_115522.1,ARL6,10588,NP_115522.1,yeast 2-hybrid
FOXP4,10600,NP_001012426.1,FOXP4,10600,NP_001012426.1,in vitro
FOXP4,10600,NP_001012426.1,FOXP1,18518,NP_116071.2,in vitro;yeast 2-hybrid
KIAA1377,17212,NP_065853.2,RIF1,10603,NP_060621.3,yeast 2-hybrid
CDK5R1,04586,NP_003876.1,CTNNB1,00286,NP_001895.1,in vitro;in vivo;yeast 2-hybrid
TUBGCP4,10616,NP_055259.2,TUBG1,01853,NP_001061.2,in vivo
ACCN3,10626,NP_064717.1,ACCN3,10626,NP_064717.1,in vitro
EXOSC6,12107,NP_478126.1,MIF4GD,10629,NP_065730.2,yeast 2-hybrid
BTRC,04596,NP_378663.1,CTNNB1,00286,NP_001895.1,in vitro;in vivo
MIS12,12379,NP_076944.1,CASC5,10634,NP_733468.2,in vitro;in vivo
DSN1,16455,NP_079194.3,CASC5,10634,NP_733468.2,in vivo
GGA1,12078,NP_037497.1,AFTPH,10635,NP_982261.2,yeast 2-hybrid
AKAP8L,10641,NP_055186.2,AKAP8L,10641,NP_055186.2,in vivo
ATG3,10654,NP_071933.2,ATG7,12293,NP_006386.1,in vivo
ARHGEF17,10658,NP_055601.2,ARHGEF17,10658,NP_055601.2,in vitro
ARID1B,10660,NP_059989.1,ARID1B,10660,NP_059989.1,in vitro
SAP130,18015,NP_078821.2,ARID4B,10661,NP_057458.4,in vitro
HSP90AA1,00777,NP_001017963.2,STAT3,00026,NP_644805.1,in vivo
AXIN1,04819,NP_003493.1,CTNNB1,00286,NP_001895.1,in vitro;yeast 2-hybrid
ATL2,10662,NP_001129145.1,ATL2,10662,NP_001129145.1,yeast 2-hybrid
EIF2AK1,10684,NP_055228.2,HSP90AA1,00777,NP_001017963.2,in vitro;in vivo
EIF2AK1,10684,NP_055228.2,CDC37,05456,NP_008996.1,in vitro;in vivo
DTX3L,16843,NP_612144.1,PARP9,10686,NP_113646.2,in vitro;in vivo;yeast 2-hybrid
SMG5,16869,NP_056142.2,SMG7,10723,AAH36381.1,in vivo
TXNL4B,11655,NP_060323.1,PRPF6,10729,NP_036601.2,in vitro;in vivo;yeast 2-hybrid
AGR3,16545,NP_789783.1,LYPD3,10783,NP_055215.2,yeast 2-hybrid
AXIN2,04935,NP_004646.3,CTNNB1,00286,NP_001895.1,in vitro;in vivo;yeast 2-hybrid
ERC2,10810,NP_056391.1,ERC2,10810,NP_056391.1,in vitro;in vivo;yeast 2-hybrid
PPFIA1,11451,NP_003617.1,ERC2,10810,NP_056391.1,in vitro;in vivo;yeast 2-hybrid
PPFIA4,16012,NP_055868.1,ERC2,10810,NP_056391.1,in vitro;yeast 2-hybrid
CGN,10827,NP_065821.1,F11R,12038,NP_653086.1,in vitro;in vivo
EXOSC6,12107,NP_478126.1,CHPF,10829,NP_078812.2,yeast 2-hybrid
EXOSC10,16180,NP_001001998.1,CHPF,10829,NP_078812.2,yeast 2-hybrid
CKAP5,10830,NP_001008938.1,CKAP5,10830,NP_001008938.1,in vitro;in vivo;yeast 2-hybrid
DLG5,04972,NP_004738.3,CTNNB1,00286,NP_001895.1,in vivo
CLSTN1,10837,NP_001009566.1,CLSTN1,10837,NP_001009566.1,yeast 2-hybrid
SLK,11585,NP_055535.2,CLSTN1,10837,NP_001009566.1,yeast 2-hybrid
BAHCC1,13861,NP_001073988.1,CLSTN1,10837,NP_001009566.1,yeast 2-hybrid
SARNP,16716,NP_149073.1,DDX39,10861,NP_005795.2,in vitro;in vivo;yeast 2-hybrid
DEDD2,10868,NP_579874.1,DEDD2,10868,NP_579874.1,in vitro;in vivo
GTF3C3,11997,NP_036218.1,DEDD2,10868,NP_579874.1,in vitro;in vivo;yeast 2-hybrid
GNA13,05100,NP_006563.2,CTNNB1,00286,NP_001895.1,in vitro
PICK1,16176,NP_036539.1,LRP2BP,10911,NP_060879.2,yeast 2-hybrid
LRP2BP,10911,NP_060879.2,TSC22D4,18231,NP_112197.1,yeast 2-hybrid
DNMBP,10918,NP_056036.1,DNMBP,10918,NP_056036.1,in vitro;yeast 2-hybrid
EVL,10942,NP_057421.1,DNMBP,10918,NP_056036.1,in vitro;yeast 2-hybrid
RAPH1,12356,NP_998754.1,DNMBP,10918,NP_056036.1,in vitro
ENAH,12360,NP_001008493.1,DNMBP,10918,NP_056036.1,in vitro
WIPF2,18304,NP_573571.1,DNMBP,10918,NP_056036.1,in vitro
SLC9A3R1,05406,NP_004243.1,CTNNB1,00286,NP_001895.1,in vitro;in vivo
MAGI3,11290,NP_001136254.1,DSCAML1,10921,NP_065744.2,yeast 2-hybrid
MAGI2,16212,NP_036433.2,DSCAML1,10921,NP_065744.2,yeast 2-hybrid
DET1,13140,NP_060466.2,DDB1,10952,NP_001914.3,in vitro
FMNL3,17007,NP_783863.4,PRPF40A,10995,NP_060362.3,in vitro;yeast 2-hybrid
WBP11,18293,NP_057396.1,PRPF40A,10995,NP_060362.3,in vitro
GSK3B,05418,NP_002084.2,CTNNB1,00286,NP_001895.1,in vitro;in vivo
GCC2,11001,NP_852118.1,GCC2,11001,NP_852118.1,in vivo
GEM,11553,NP_005252.1,GMIP,11005,NP_057657.2,in vitro;in vivo
PYGO1,06064,NP_056432.1,CTNNB1,00286,NP_001895.1,in vitro
MEGF10,14384,NP_115822.1,TMEM132A,11034,NP_060340.2,yeast 2-hybrid
INHBE,11047,NP_113667.1,INHBE,11047,NP_113667.1,in vitro
ISL2,11053,NP_665804.1,ISL2,11053,NP_665804.1,in vivo
EXOSC6,12107,NP_478126.1,KIAA0182,11066,NP_055430.1,yeast 2-hybrid
CDH7,12049,NP_004352.2,CDH12,11081,NP_004052.2,in vivo
ATXN7L1,12505,AAH03517.2,SSPO,11088,NP_940857.2,yeast 2-hybrid
IFT140,11093,NP_055529.2,CELSR3,09179,NP_001398.2,yeast 2-hybrid
AMIGO1,11129,NP_065754.2,AMIGO1,11129,NP_065754.2,in vitro;in vivo
AMIGO2,16483,NP_862830.1,AMIGO1,11129,NP_065754.2,in vitro;in vivo
AMIGO3,16484,NP_942015.1,AMIGO1,11129,NP_065754.2,in vitro;in vivo
MEGF10,14384,NP_115822.1,ZNFX1,11142,NP_066363.1,yeast 2-hybrid
TCF7L1,06874,NP_112573.1,CTNNB1,00286,NP_001895.1,in vivo
MEGF10,14384,NP_115822.1,KIAA1598,11155,NP_001120683.1,yeast 2-hybrid
ZFAND2B,11234,NP_620157.1,ZFAND2B,11234,NP_620157.1,in vivo
EXOSC4,16221,NP_061910.1,LRRC8D,11287,NP_060573.2,yeast 2-hybrid
ZNF473,11721,NP_056243.1,LSM11,11289,NP_775762.1,in vitro;yeast 2-hybrid
LSM10,14326,NP_116270.1,LSM11,11289,NP_775762.1,in vitro;in vivo
CDHR2,15103,NP_060145.2,MAST2,11294,NP_055927.2,in vivo;yeast 2-hybrid
KIAA1549,13873,NP_001158137.1,MBD5,11295,NP_060798.2,yeast 2-hybrid
NF2,06980,NP_000259.1,CTNNB1,00286,NP_001895.1,in vitro
HAUS1,16385,NP_612452.1,MCM10,11297,NP_877428.1,in vitro
NEK9,11386,NP_149107.4,NEK9,11386,NP_149107.4,in vitro;in vivo
NOL8,11397,NP_060418.4,NOL8,11397,NP_060418.4,yeast 2-hybrid
RRAGC,12198,NP_071440.1,NOL8,11397,NP_060418.4,in vitro;in vivo;yeast 2-hybrid
RRAGD,12199,NP_067067.1,NOL8,11397,NP_060418.4,in vivo
NIP7,16709,NP_057185.1,NOL8,11397,NP_060418.4,in vitro;yeast 2-hybrid
NOMO1,11398,NP_055102.3,NOMO1,11398,NP_055102.3,in vivo
HCK,00796,NP_002101.2,STAT3,00026,NP_644805.1,in vitro;in vivo
ACP1,08881,NP_004291.1,CTNNB1,00286,NP_001895.1,in vitro;in vivo
EXOSC10,16180,NP_001001998.1,NOMO1,11398,NP_055102.3,yeast 2-hybrid
OR4F6,11415,NP_001005326.1,OR4F6,11415,NP_001005326.1,in vivo
MUC2,11828,NP_002448.2,PLEKHM1,11439,NP_055613.1,in vitro
MIS12,12379,NP_076944.1,PMF1,11441,NP_009152.2,in vitro;in vivo
